day,inverts,fish
1,0.25,0.75
2,0.25,0.75
3,0.25,0.75
4,0.25,0.75
5,0.25,0.75
6,0.25,0.75
7,0.25,0.75
8,0.25,0.75
9,0.25,0.75
10,0.25,0.75
11,0.25,0.75
12,0.25,0.75
13,0.25,0.75
14,0.25,0.75
15,0.25,0.75
16,0.25,0.75
17,0.25,0.75
18,0.25,0.75
19,0.25,0.75
20,0.25,0.75
21,0.25,0.75
22,0.25,0.75
23,0.25,0.75
24,0.25,0.75
25,0.25,0.75
26,0.25,0.75
27,0.25,0.75
28,0.25,0.75
29,0.25,0.75
30,0.25,0.75
31,0.25,0.75
32,0.25,0.75
33,0.25,0.75
34,0.25,0.75
35,0.25,0.75
36,0.25,0.75
37,0.25,0.75
38,0.25,0.75
39,0.25,0.75
40,0.25,0.75
41,0.25,0.75
42,0.25,0.75
43,0.25,0.75
44,0.25,0.75
45,0.25,0.75
46,0.25,0.75
47,0.25,0.75
48,0.25,0.75
49,0.25,0.75
50,0.25,0.75
51,0.25,0.75
52,0.25,0.75
53,0.25,0.75
54,0.25,0.75
55,0.25,0.75
56,0.25,0.75
57,0.25,0.75
58,0.25,0.75
59,0.25,0.75
60,0.25,0.75
61,0.25,0.75
62,0.25,0.75
63,0.25,0.75
64,0.25,0.75
65,0.25,0.75
66,0.25,0.75
67,0.25,0.75
68,0.25,0.75
69,0.25,0.75
70,0.25,0.75
71,0.25,0.75
72,0.25,0.75
73,0.25,0.75
74,0.25,0.75
75,0.25,0.75
76,0.25,0.75
77,0.25,0.75
78,0.25,0.75
79,0.25,0.75
80,0.25,0.75
81,0.25,0.75
82,0.25,0.75
83,0.25,0.75
84,0.25,0.75
85,0.25,0.75
86,0.25,0.75
87,0.25,0.75
88,0.25,0.75
89,0.25,0.75
90,0.25,0.75
91,0.25,0.75
92,0.25,0.75
93,0.25,0.75
94,0.25,0.75
95,0.25,0.75
96,0.25,0.75
97,0.25,0.75
98,0.25,0.75
99,0.25,0.75
100,0.25,0.75
101,0.25,0.75
102,0.25,0.75
103,0.25,0.75
104,0.25,0.75
105,0.25,0.75
106,0.25,0.75
107,0.25,0.75
