day,temperature
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0.02291667
36,0
37,0.01666667
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0.00729167
52,0.01145833
53,0
54,0
55,0
56,0
57,0.10625
58,0.121875
59,0.21458333
60,0.23645833
61,0.790625
62,0.27083333
63,0.39479167
64,0.190625
65,0.72083333
66,1.678125
67,2.06354167
68,2.659375
69,2.54782609
70,2.52083333
71,2.16458333
72,2.528125
73,2.85208333
74,3.35520833
75,3.91458333
76,4.47916667
77,4.909375
78,5.428125
79,5.865625
80,6.04479167
81,6.37916667
82,6.68229167
83,7.2125
84,8.09375
85,8.003125
86,7.77604167
87,7.65208333
88,7.15520833
89,7.68854167
90,8.33229167
91,8.02083333
92,8.6125
93,9.10625
94,9.50208333
95,9.68229167
96,9.38333333
97,9.24895833
98,9.68541667
99,9.35729167
100,8.371875
101,7.3
102,6.87708333
103,8.02916667
104,8.95520833
105,8.946875
106,9.91354167
107,9.79479167
108,10.0520833
109,11.553125
110,12.2458333
111,11.4
112,10.7822917
113,10.8
114,11.3697917
115,10.2677083
116,9.93229167
117,9.27291667
118,8.565625
119,7.390625
120,7.00208333
121,7.35208333
122,7.81666667
123,8.72604167
124,11.0302083
125,12.5666667
126,13.0770833
127,12.1645833
128,11.4104167
129,10.88125
130,10.9208333
131,11.6072917
132,12.6114583
133,13.1489583
134,12.9177083
135,12.0625
136,11.6385417
137,10.7166667
138,9.69166667
139,10.0208333
140,9.778125
141,10.5416667
142,10.24375
143,9.109375
144,10.1083333
145,11.0677083
146,11.3802083
147,11.446875
148,11.8677083
149,13.1229167
150,13.9322917
151,13.8958333
152,13.9520833
153,14.1177083
154,14.3760417
155,14.5260417
156,14.48125
157,14.3208333
158,13.1833333
159,10.8541667
160,10.4916667
161,12.2302083
162,14.1020833
163,15.6052083
164,16.6
165,16.2229167
166,15.9072917
167,16.1145833
168,16.4135417
169,15.971875
170,15.990625
171,14.4104167
172,12.5854167
173,11.80625
174,13.2364583
175,13.55
176,14.478125
177,14.9625
178,15.4229167
179,14.9760417
180,15.65625
181,16.9145833
182,17.2510417
183,17.7833333
184,17.5895833
185,17.56875
186,17.7479167
187,18.5989583
188,18.3375
189,17.39375
190,16.45
191,17.478125
192,18.5677083
193,20.2979167
194,20.7895833
195,20.478125
196,20.2458333
197,19.6208333
198,19.1979167
199,19.5875
200,19.4583333
201,18.8520833
202,19.0270833
203,19.6072917
204,19.08125
205,19.5125
206,19.7666667
207,19.8822917
208,20.84375
209,20.959375
210,20.7395833
211,20.2083333
212,20.5375
213,21.3916667
214,20.178125
215,19.4802083
216,20.8885417
217,21.3364583
218,20.9270833
219,20.975
220,20.8239583
221,20.675
222,19.7489583
223,18.4979167
224,18.2625
225,19.2520833
226,19.7635417
227,19.9385417
228,19.83125
229,19.7708333
230,19.5270833
231,20.125
232,20.7927083
233,21.3884211
234,21.009375
235,19.6166667
236,20.1052083
237,19.7875
238,18.5104167
239,18.5677083
240,19.090625
241,19.1354167
242,19.2541667
243,19.9489583
244,20.3427083
245,20.065625
246,20.1385417
247,20.2166667
248,19.953125
249,19.7791667
250,18.959375
251,18.3916667
252,16.8395833
253,15.9260417
254,15.3947917
255,15.46875
256,15.834375
257,16.1864583
258,16.690625
259,16.246875
260,15.7427083
261,14.5885417
262,14.121875
263,13.5958333
264,12.9541667
265,13.5270833
266,14.8604167
267,15.5020833
268,15.24375
269,14.103125
270,13.6416667
271,13.0833333
272,10.553125
273,8.609375
274,8.48125
275,9.01666667
276,9.01875
277,8.83541667
278,8.86458333
279,8.74583333
280,8.82916667
281,8.934375
282,8.53854167
283,6.38125
284,5.66770833
285,5.221875
286,5.89479167
287,6.90520833
288,7.35104167
289,7.94270833
290,8.484375
291,8.03333333
292,6.79166667
293,5.98645833
294,6.553125
295,7.125
296,7.35625
297,6.45208333
298,6.21770833
299,6.43333333
300,4.703125
301,3.115625
302,0.55520833
303,-0.009375
304,0.01770833
305,0.00729167
306,0.07291667
307,0.249
308,0.95208333
309,2.16354167
310,2.76041667
311,2.75104167
312,2.46979167
313,2.42291667
314,3.290625
315,3.63229167
316,3.35104167
317,3.70520833
318,3.46770833
319,3.34479167
320,4.15208333
321,4.72916667
322,5.00625
323,4.94375
324,4.378125
325,2.93854167
326,1.48333333
327,0.425
328,0.44270833
329,1.0625
330,0.69791667
331,0.27708333
332,0.02604167
333,-0.0041667
334,0.00625
335,-0.0010417
336,-0.0083333
337,-0.0052083
338,-0.0145833
339,-0.00625
340,-0.00625
341,-0.0020833
342,0.00833333
343,-0.0177083
344,-0.0052083
345,-0.003125
346,0
347,0.04479167
348,0.03333333
349,-0.0052083
350,-0.0041667
351,-0.0010417
352,0
353,-0.0010417
354,-0.009375
355,-0.0083333
356,-0.009375
357,-0.0052083
358,0
359,-0.0114583
360,0
361,-0.0072917
362,-0.00625
363,-0.003125
364,-0.0041667
365,-0.0052083
