day,temperature
1,15.5
2,17.1
3,17.9
4,18.5
5,18.7
6,18.7
7,17.4
8,14
9,13.1
10,14.1
11,15
12,15.7
13,15.6
14,14.7
15,14.2
16,13.8
17,14
18,13.8
19,13.6
20,13.9
21,14.3
22,14.2
23,14.1
24,14
25,12.6
26,12.2
27,12.4
28,12
29,12.2
30,12.4
31,12.6
32,13.4
33,13.7
34,13.1
35,12.8
36,12.7
37,12.4
38,12.1
39,11.5
40,10.8
41,10
42,9.8
43,9.6
44,9
45,9.1
46,8.6
47,9.7
48,10.1
49,10.5
50,10.9
51,10.3
52,8.3
53,6
54,5.2
55,3.1
56,1.5
57,1.8
58,3.1
59,4
60,4.8
61,5.4
62,5.2
63,4.6
64,4.2
65,4.4
66,4.9
67,5.7
68,6.8
69,5.6
70,2.6
71,1.5
72,1.4
73,1.3
74,0.9
75,0.7
76,1.6
77,1.8
78,1.8
