Day,Temperature_C,Weight_g,Cons_fish_g,Cons_inverts_g,Cum_Cons_g
1,0,846.77,0,0,0
2,0,846.55,0,0,0.01
3,0,846.32,0,0,0.01
4,0,846.1,0,0,0.02
5,0,845.88,0,0,0.02
6,0,845.65,0,0,0.02
7,0,845.43,0,0,0.03
8,0,845.2,0,0,0.03
9,0,844.98,0,0,0.04
10,0,844.75,0,0,0.04
11,0,844.53,0,0,0.04
12,0,844.3,0,0,0.05
13,0,844.08,0,0,0.05
14,0,843.85,0,0,0.06
15,0,843.63,0,0,0.06
16,0,843.4,0,0,0.06
17,0,843.18,0,0,0.07
18,0,842.96,0,0,0.07
19,0,842.73,0,0,0.07
20,0,842.51,0,0,0.08
21,0,842.28,0,0,0.08
22,0,842.06,0,0,0.09
23,0,841.83,0,0,0.09
24,0,841.61,0,0,0.09
25,0,841.39,0,0,0.1
26,0,841.16,0,0,0.1
27,0,840.94,0,0,0.11
28,0,840.71,0,0,0.11
29,0,840.49,0,0,0.11
30,0,840.27,0,0,0.12
31,0,840.04,0,0,0.12
32,0,839.82,0,0,0.13
33,0,839.6,0,0,0.13
34,0,839.37,0,0,0.13
35,0.02,838.75,0,0,0.14
36,0,838.53,0,0,0.14
37,0.02,837.91,0,0,0.15
38,0,837.69,0,0,0.15
39,0,837.46,0,0,0.15
40,0,837.24,0,0,0.16
41,0,837.02,0,0,0.16
42,0,836.79,0,0,0.16
43,0,836.57,0,0,0.17
44,0,836.35,0,0,0.17
45,0,836.12,0,0,0.18
46,0,835.9,0,0,0.18
47,0,835.68,0,0,0.18
48,0,835.45,0,0,0.19
49,0,835.23,0,0,0.19
50,0,835.01,0,0,0.2
51,0.01,834.39,0,0,0.2
52,0.01,833.78,0,0,0.2
53,0,833.55,0,0,0.21
54,0,833.33,0,0,0.21
55,0,833.11,0,0,0.22
56,0,832.89,0,0,0.22
57,0.11,832.26,0,0,0.22
58,0.12,831.64,0,0,0.23
59,0.21,831.01,0,0,0.23
60,0.24,830.38,0,0,0.24
61,0.79,829.72,0,0,0.24
62,0.27,829.09,0,0,0.25
63,0.39,828.45,0,0,0.25
64,0.19,827.83,0,0,0.26
65,0.72,827.17,0,0,0.26
66,1.68,826.45,0.01,0,0.27
67,2.06,825.7,0.01,0,0.28
68,2.66,824.91,0.01,0,0.3
69,2.55,824.12,0.01,0,0.31
70,2.52,823.34,0.01,0,0.33
71,2.16,822.59,0.01,0,0.34
72,2.53,821.81,0.01,0,0.36
73,2.85,821.01,0.01,0,0.37
74,3.36,820.17,0.02,0.01,0.4
75,3.91,819.29,0.02,0.01,0.43
76,4.48,818.37,0.03,0.01,0.47
77,4.91,817.43,0.04,0.01,0.52
78,5.43,816.45,0.05,0.02,0.59
79,5.87,815.45,0.07,0.02,0.68
80,6.04,814.45,0.07,0.02,0.78
81,6.38,813.43,0.09,0.03,0.89
82,6.68,812.4,0.1,0.03,1.02
