Day,Date,Temperature_C,Weight_g,Cons_inverts_g,Cons_fish_g,Cum_Cons_g
1,1/1/20,0,846.77,0.01,0,0.01
2,1/2/20,0,846.55,0.01,0,0.02
3,1/3/20,0,846.32,0.01,0,0.02
4,1/4/20,0,846.1,0.01,0,0.03
5,1/5/20,0,845.88,0.01,0,0.04
6,1/6/20,0,845.65,0.01,0,0.05
7,1/7/20,0,845.43,0.01,0,0.05
8,1/8/20,0,845.2,0.01,0,0.06
9,1/9/20,0,844.98,0.01,0,0.07
10,1/10/20,0,844.75,0.01,0,0.08
11,1/11/20,0,844.53,0.01,0,0.08
12,1/12/20,0,844.3,0.01,0,0.09
13,1/13/20,0,844.08,0.01,0,0.1
14,1/14/20,0,843.85,0.01,0,0.11
15,1/15/20,0,843.63,0.01,0,0.11
16,1/16/20,0,843.4,0.01,0,0.12
17,1/17/20,0,843.18,0.01,0,0.13
18,1/18/20,0,842.96,0.01,0,0.14
19,1/19/20,0,842.73,0.01,0,0.14
20,1/20/20,0,842.51,0.01,0,0.15
21,1/21/20,0,842.28,0.01,0,0.16
22,1/22/20,0,842.06,0.01,0,0.16
23,1/23/20,0,841.83,0.01,0,0.17
24,1/24/20,0,841.61,0.01,0,0.18
25,1/25/20,0,841.39,0.01,0,0.19
26,1/26/20,0,841.16,0.01,0,0.19
27,1/27/20,0,840.94,0.01,0,0.2
28,1/28/20,0,840.71,0.01,0,0.21
29,1/29/20,0,840.49,0.01,0,0.22
30,1/30/20,0,840.27,0.01,0,0.22
31,1/31/20,0,840.04,0.01,0,0.23
32,2/1/20,0,839.82,0.01,0,0.24
33,2/2/20,0,839.6,0.01,0,0.25
34,2/3/20,0,839.37,0.01,0,0.25
35,2/4/20,0.02,838.75,0.01,0,0.26
36,2/5/20,0,838.53,0.01,0,0.27
37,2/6/20,0.02,837.91,0.01,0,0.28
38,2/7/20,0,837.69,0.01,0,0.28
39,2/8/20,0,837.46,0.01,0,0.29
40,2/9/20,0,837.24,0.01,0,0.3
41,2/10/20,0,837.02,0.01,0,0.31
42,2/11/20,0,836.79,0.01,0,0.31
43,2/12/20,0,836.57,0.01,0,0.32
44,2/13/20,0,836.35,0.01,0,0.33
45,2/14/20,0,836.12,0.01,0,0.34
46,2/15/20,0,835.9,0.01,0,0.34
47,2/16/20,0,835.68,0.01,0,0.35
48,2/17/20,0,835.45,0.01,0,0.36
49,2/18/20,0,835.23,0.01,0,0.37
50,2/19/20,0,835.01,0.01,0,0.37
51,2/20/20,0.01,834.39,0.01,0,0.38
52,2/21/20,0.01,833.78,0.01,0,0.39
53,2/22/20,0,833.55,0.01,0,0.4
54,2/23/20,0,833.33,0.01,0,0.4
55,2/24/20,0,833.11,0.01,0,0.41
56,2/25/20,0,832.89,0.01,0,0.42
57,2/26/20,0.11,832.26,0.01,0,0.43
58,2/27/20,0.12,831.64,0.01,0,0.43
59,2/28/20,0.21,831.01,0.01,0,0.44
60,2/29/20,0.24,830.38,0.01,0,0.45
61,3/1/20,0.79,829.72,0.01,0,0.46
62,3/2/20,0.27,829.09,0.01,0,0.47
63,3/3/20,0.39,828.45,0.01,0,0.48
64,3/4/20,0.19,827.83,0.01,0,0.49
65,3/5/20,0.72,827.17,0.01,0,0.5
66,3/6/20,1.68,826.45,0.01,0.01,0.52
67,3/7/20,2.06,825.7,0.02,0.01,0.54
68,3/8/20,2.66,824.91,0.02,0.01,0.57
69,3/9/20,2.55,824.12,0.02,0.01,0.6
70,3/10/20,2.52,823.34,0.02,0.01,0.63
71,3/11/20,2.16,822.59,0.02,0.01,0.65
72,3/12/20,2.53,821.81,0.02,0.01,0.68
73,3/13/20,2.85,821.01,0.02,0.01,0.71
74,3/14/20,3.36,820.17,0.03,0.01,0.76
75,3/15/20,3.91,819.29,0.04,0.02,0.82
76,3/16/20,4.48,818.37,0.05,0.03,0.9
77,3/17/20,4.91,817.43,0.07,0.03,1
78,3/18/20,5.43,816.45,0.09,0.04,1.13
79,3/19/20,5.87,815.45,0.11,0.05,1.3
80,3/20/20,6.04,814.45,0.13,0.06,1.48
81,3/21/20,6.38,813.43,0.15,0.07,1.7
82,3/22/20,6.68,812.4,0.17,0.08,1.95
83,3/23/20,7.21,811.37,0.23,0.11,2.29
84,3/24/20,8.09,810.37,0.36,0.17,2.81
85,3/25/20,8,809.36,0.34,0.16,3.31
86,3/26/20,7.78,808.35,0.3,0.14,3.75
87,3/27/20,7.65,807.33,0.28,0.13,4.17
88,3/28/20,7.16,806.3,0.22,0.1,4.49
89,3/29/20,7.69,805.28,0.29,0.13,4.91
90,3/30/20,8.33,804.3,0.4,0.18,5.5
91,3/31/20,8.02,803.3,0.34,0.16,6
92,4/1/20,8.61,802.35,0.46,0.21,6.67
93,4/2/20,9.11,801.46,0.58,0.27,7.51
94,4/3/20,9.5,800.65,0.7,0.32,8.53
95,4/4/20,9.68,799.87,0.76,0.35,9.63
96,4/5/20,9.38,799.04,0.66,0.3,10.6
97,4/6/20,9.25,798.17,0.62,0.29,11.5
98,4/7/20,9.69,797.4,0.75,0.35,12.6
99,4/8/20,9.36,796.56,0.65,0.3,13.55
100,4/9/20,8.37,795.59,0.4,0.19,14.14
101,4/10/20,7.3,794.58,0.24,0.11,14.49
102,4/11/20,6.88,793.56,0.19,0.09,14.76
103,4/12/20,8.03,792.57,0.34,0.16,15.26
104,4/13/20,8.96,791.67,0.53,0.25,16.04
105,4/14/20,8.95,790.77,0.53,0.25,16.81
106,4/15/20,9.91,790.06,0.83,0.38,18.03
107,4/16/20,9.79,789.31,0.79,0.36,19.18
108,4/17/20,10.05,788.64,0.88,0.41,20.47
109,4/18/20,11.55,788.54,1.61,0.74,22.82
110,4/19/20,12.25,788.79,2.03,0.94,25.79
111,4/20/20,11.4,788.61,1.52,0.7,28.02
112,4/21/20,10.78,788.18,1.2,0.55,29.77
113,4/22/20,10.8,787.76,1.21,0.56,31.54
