Day,Date,Temperature_C,Weight_g,Cons_inverts_g,Cons_fish_g,Cum_Cons_g,Cons_Pop_g
1,1/1/20,0,846.78,0,0,0,0
2,1/2/20,0,846.55,0,0,0.01,0
3,1/3/20,0,846.33,0,0,0.01,0
4,1/4/20,0,846.1,0,0,0.02,0
5,1/5/20,0,845.88,0,0,0.02,0
6,1/6/20,0,845.65,0,0,0.03,0
7,1/7/20,0,845.43,0,0,0.03,0
8,1/8/20,0,845.21,0,0,0.03,0
9,1/9/20,0,844.98,0,0,0.04,0
10,1/10/20,0,844.76,0,0,0.04,0
11,1/11/20,0,844.53,0,0,0.05,0
12,1/12/20,0,844.31,0,0,0.05,0
13,1/13/20,0,844.09,0,0,0.06,0
14,1/14/20,0,843.86,0,0,0.06,0
15,1/15/20,0,843.64,0,0,0.07,0
16,1/16/20,0,843.41,0,0,0.07,0
17,1/17/20,0,843.19,0,0,0.07,0
18,1/18/20,0,842.97,0,0,0.08,0
19,1/19/20,0,842.74,0,0,0.08,0
20,1/20/20,0,842.52,0,0,0.09,0
21,1/21/20,0,842.3,0,0,0.09,0
22,1/22/20,0,842.07,0,0,0.1,0
23,1/23/20,0,841.85,0,0,0.1,0
24,1/24/20,0,841.63,0,0,0.1,0
25,1/25/20,0,841.4,0,0,0.11,0
26,1/26/20,0,841.18,0,0,0.11,0
27,1/27/20,0,840.96,0,0,0.12,0
28,1/28/20,0,840.73,0,0,0.12,0
29,1/29/20,0,840.51,0,0,0.13,0
30,1/30/20,0,840.29,0,0,0.13,0
31,1/31/20,0,840.06,0,0,0.13,0
32,2/1/20,0,839.84,0,0,0.14,0
33,2/2/20,0,839.62,0,0,0.14,0
34,2/3/20,0,839.39,0,0,0.15,0
35,2/4/20,0.02,838.77,0,0,0.15,0
36,2/5/20,0,838.55,0,0,0.16,0
37,2/6/20,0.02,837.93,0,0,0.16,0
38,2/7/20,0,837.71,0,0,0.17,0
39,2/8/20,0,837.49,0,0,0.17,0
40,2/9/20,0,837.27,0,0,0.17,0
41,2/10/20,0,837.04,0,0,0.18,0
42,2/11/20,0,836.82,0,0,0.18,0
43,2/12/20,0,836.6,0,0,0.19,0
44,2/13/20,0,836.38,0,0,0.19,0
45,2/14/20,0,836.15,0,0,0.2,0
46,2/15/20,0,835.93,0,0,0.2,0
47,2/16/20,0,835.71,0,0,0.2,0
48,2/17/20,0,835.49,0,0,0.21,0
49,2/18/20,0,835.26,0,0,0.21,0
50,2/19/20,0,835.04,0,0,0.22,0
51,2/20/20,0.01,834.43,0,0,0.22,0
52,2/21/20,0.01,833.81,0,0,0.23,0
53,2/22/20,0,833.59,0,0,0.23,0
54,2/23/20,0,833.37,0,0,0.23,0
55,2/24/20,0,833.14,0,0,0.24,0
56,2/25/20,0,832.92,0,0,0.24,0
57,2/26/20,0.11,832.3,0,0,0.25,0
58,2/27/20,0.12,831.68,0,0,0.25,0
59,2/28/20,0.21,831.05,0,0,0.26,0
60,2/29/20,0.24,830.42,0,0,0.26,0
61,3/1/20,0.79,829.76,0,0,0.27,0.01
62,3/2/20,0.27,829.13,0,0,0.27,0
63,3/3/20,0.39,828.49,0,0,0.28,0.01
64,3/4/20,0.19,827.87,0,0,0.28,0
65,3/5/20,0.72,827.21,0,0,0.29,0.01
66,3/6/20,1.68,826.49,0,0.01,0.3,0.01
67,3/7/20,2.06,825.74,0,0.01,0.31,0.01
68,3/8/20,2.66,824.96,0,0.01,0.33,0.02
69,3/9/20,2.55,824.18,0,0.01,0.35,0.02
70,3/10/20,2.52,823.4,0,0.01,0.36,0.02
71,3/11/20,2.16,822.65,0,0.01,0.38,0.01
72,3/12/20,2.53,821.87,0,0.01,0.39,0.02
73,3/13/20,2.85,821.07,0,0.01,0.41,0.02
74,3/14/20,3.36,820.23,0.01,0.02,0.44,0.03
75,3/15/20,3.91,819.36,0.01,0.03,0.47,0.03
76,3/16/20,4.48,818.45,0.01,0.04,0.52,0.05
77,3/17/20,4.91,817.51,0.01,0.04,0.58,0.06
78,3/18/20,5.43,816.55,0.02,0.06,0.66,0.08
79,3/19/20,5.87,815.57,0.02,0.07,0.75,0.1
80,3/20/20,6.04,814.58,0.03,0.08,0.86,0.11
81,3/21/20,6.38,813.58,0.03,0.09,0.99,0.13
82,3/22/20,6.68,812.57,0.04,0.11,1.13,0.15
83,3/23/20,7.21,811.57,0.05,0.15,1.33,0.19
84,3/24/20,8.09,810.61,0.08,0.23,1.63,0.3
85,3/25/20,8,809.65,0.07,0.22,1.92,0.29
86,3/26/20,7.78,808.67,0.06,0.19,2.18,0.26
87,3/27/20,7.65,807.69,0.06,0.18,2.42,0.24
88,3/28/20,7.16,806.69,0.05,0.14,2.61,0.19
89,3/29/20,7.69,805.71,0.06,0.18,2.85,0.25
90,3/30/20,8.33,804.78,0.08,0.25,3.19,0.34
91,3/31/20,8.02,803.82,0.07,0.22,3.48,0.29
92,4/1/20,8.61,802.92,0.1,0.29,3.87,0.39
93,4/2/20,9.11,802.11,0.12,0.37,4.36,0.49
94,4/3/20,9.5,801.38,0.15,0.44,4.96,0.59
95,4/4/20,9.68,800.7,0.16,0.48,5.6,0.64
96,4/5/20,9.38,799.95,0.14,0.42,6.16,0.56
97,4/6/20,9.25,799.17,0.13,0.39,6.68,0.52
98,4/7/20,9.69,798.49,0.16,0.48,7.32,0.64
99,4/8/20,9.36,797.73,0.14,0.41,7.88,0.55
100,4/9/20,8.37,796.81,0.09,0.26,8.22,0.34
101,4/10/20,7.3,795.83,0.05,0.15,8.42,0.2
102,4/11/20,6.88,794.84,0.04,0.12,8.58,0.16
103,4/12/20,8.03,793.89,0.07,0.22,8.87,0.29
104,4/13/20,8.96,793.05,0.11,0.34,9.32,0.45
105,4/14/20,8.95,792.22,0.11,0.34,9.77,0.45
106,4/15/20,9.91,791.61,0.18,0.53,10.48,0.71
107,4/16/20,9.79,790.97,0.17,0.5,11.15,0.67
108,4/17/20,10.05,790.41,0.19,0.56,11.9,0.75
109,4/18/20,11.55,790.51,0.34,1.03,13.27,1.37
110,4/19/20,12.25,791.02,0.43,1.3,15,1.73
111,4/20/20,11.4,791.04,0.32,0.97,16.29,1.3
112,4/21/20,10.78,790.76,0.26,0.77,17.32,1.02
113,4/22/20,10.8,790.49,0.26,0.77,18.34,1.03
114,4/23/20,11.37,790.49,0.32,0.96,19.63,1.28
115,4/24/20,10.27,790.01,0.21,0.62,20.45,0.82
116,4/25/20,9.93,789.41,0.18,0.53,21.16,0.71
117,4/26/20,9.27,788.63,0.13,0.39,21.68,0.53
118,4/27/20,8.57,787.74,0.09,0.28,22.06,0.37
119,4/28/20,7.39,786.77,0.05,0.16,22.27,0.21
120,4/29/20,7,785.79,0.04,0.13,22.43,0.17
121,4/30/20,7.35,784.81,0.05,0.15,22.64,0.2
122,5/1/20,7.82,783.85,0.06,0.19,22.89,0.26
123,5/2/20,8.73,782.99,0.1,0.3,23.3,0.4
124,5/3/20,11.03,782.82,0.28,0.84,24.41,1.12
125,5/4/20,12.57,783.52,0.47,1.42,26.3,1.89
126,5/5/20,13.08,784.53,0.54,1.63,28.48,2.17
127,5/6/20,12.16,784.98,0.42,1.26,30.15,1.68
128,5/7/20,11.41,785.01,0.32,0.97,31.45,1.29
129,5/8/20,10.88,784.77,0.26,0.79,32.5,1.06
130,5/9/20,10.92,784.55,0.27,0.8,33.57,1.07
131,5/10/20,11.61,784.69,0.35,1.04,34.96,1.39
132,5/11/20,12.61,785.41,0.48,1.44,36.88,1.92
133,5/12/20,13.15,786.47,0.55,1.66,39.1,2.22
134,5/13/20,12.92,787.38,0.52,1.57,41.19,2.09
135,5/14/20,12.06,787.77,0.41,1.22,42.81,1.63
136,5/15/20,11.64,787.92,0.35,1.06,44.22,1.41
137,5/16/20,10.72,787.62,0.25,0.74,45.21,0.99
138,5/17/20,9.69,786.95,0.16,0.48,45.85,0.64
139,5/18/20,10.02,786.38,0.18,0.55,46.58,0.74
140,5/19/20,9.78,785.73,0.17,0.5,47.24,0.66
141,5/20/20,10.54,785.35,0.23,0.69,48.16,0.92
142,5/21/20,10.24,784.86,0.2,0.61,48.97,0.81
143,5/22/20,9.11,784.06,0.12,0.36,49.46,0.48
144,5/23/20,10.11,783.52,0.19,0.57,50.22,0.76
145,5/24/20,11.07,783.37,0.28,0.85,51.36,1.13
146,5/25/20,11.38,783.38,0.32,0.96,52.63,1.28
147,5/26/20,11.45,783.42,0.33,0.98,53.94,1.31
148,5/27/20,11.87,783.7,0.38,1.14,55.46,1.52
149,5/28/20,13.12,784.74,0.55,1.65,57.66,2.2
150,5/29/20,13.93,786.23,0.66,1.97,60.29,2.63
151,5/30/20,13.9,787.7,0.65,1.96,62.9,2.62
152,5/31/20,13.95,789.21,0.66,1.99,65.55,2.65
153,6/1/20,14.12,790.81,0.68,2.05,68.29,2.74
154,6/2/20,14.38,792.52,0.72,2.15,71.15,2.86
155,6/3/20,14.53,794.31,0.73,2.2,74.09,2.94
156,6/4/20,14.48,796.08,0.73,2.19,77.02,2.92
157,6/5/20,14.32,797.78,0.71,2.14,79.87,2.85
158,6/6/20,13.18,798.87,0.57,1.7,82.13,2.26
159,6/7/20,10.85,798.63,0.26,0.79,83.19,1.06
160,6/8/20,10.49,798.22,0.23,0.68,84.1,0.91
