Day,Date,Temperature_C,Weight_g,Cons_fish_g,Cons_inverts_g,Cum_Cons_g
1,1/1/20,0,846.77,0,0,0
2,1/2/20,0,846.55,0,0,0.01
3,1/3/20,0,846.32,0,0,0.01
4,1/4/20,0,846.1,0,0,0.02
5,1/5/20,0,845.88,0,0,0.02
6,1/6/20,0,845.65,0,0,0.02
7,1/7/20,0,845.43,0,0,0.03
8,1/8/20,0,845.2,0,0,0.03
9,1/9/20,0,844.98,0,0,0.04
10,1/10/20,0,844.75,0,0,0.04
11,1/11/20,0,844.53,0,0,0.04
12,1/12/20,0,844.3,0,0,0.05
13,1/13/20,0,844.08,0,0,0.05
14,1/14/20,0,843.85,0,0,0.06
15,1/15/20,0,843.63,0,0,0.06
16,1/16/20,0,843.4,0,0,0.06
17,1/17/20,0,843.18,0,0,0.07
18,1/18/20,0,842.96,0,0,0.07
19,1/19/20,0,842.73,0,0,0.07
20,1/20/20,0,842.51,0,0,0.08
21,1/21/20,0,842.28,0,0,0.08
22,1/22/20,0,842.06,0,0,0.09
23,1/23/20,0,841.83,0,0,0.09
24,1/24/20,0,841.61,0,0,0.09
25,1/25/20,0,841.39,0,0,0.1
26,1/26/20,0,841.16,0,0,0.1
27,1/27/20,0,840.94,0,0,0.11
28,1/28/20,0,840.71,0,0,0.11
29,1/29/20,0,840.49,0,0,0.11
30,1/30/20,0,840.27,0,0,0.12
31,1/31/20,0,840.04,0,0,0.12
32,2/1/20,0,839.82,0,0,0.13
33,2/2/20,0,839.6,0,0,0.13
34,2/3/20,0,839.37,0,0,0.13
35,2/4/20,0.02,838.75,0,0,0.14
36,2/5/20,0,838.53,0,0,0.14
37,2/6/20,0.02,837.91,0,0,0.15
38,2/7/20,0,837.69,0,0,0.15
39,2/8/20,0,837.46,0,0,0.15
40,2/9/20,0,837.24,0,0,0.16
41,2/10/20,0,837.02,0,0,0.16
42,2/11/20,0,836.79,0,0,0.16
43,2/12/20,0,836.57,0,0,0.17
44,2/13/20,0,836.35,0,0,0.17
