Day,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
1,14.73,673.56,1.72,2.59,4.31
2,14.36,676.42,1.63,2.45,8.39
3,14.07,679.1,1.56,2.34,12.28
4,13.96,681.72,1.53,2.3,16.11
5,13.86,684.27,1.51,2.26,19.88
6,13.63,686.66,1.44,2.16,23.47
7,13.2,688.72,1.31,1.97,26.75
8,13.2,690.79,1.31,1.97,30.03
9,13.4,693.02,1.38,2.07,33.48
10,13.22,695.12,1.33,1.99,36.8
11,12.85,696.91,1.21,1.81,39.82
12,12.85,698.71,1.21,1.82,42.85
13,13.02,700.66,1.27,1.9,46.02
14,12.96,702.56,1.25,1.88,49.15
15,12.42,704.01,1.08,1.62,51.84
16,11.91,705.05,0.92,1.38,54.14
17,11.56,705.82,0.81,1.22,56.17
18,11.44,706.51,0.78,1.17,58.12
19,11.24,707.05,0.73,1.09,59.94
20,10.73,707.26,0.59,0.89,61.42
21,10.4,707.29,0.52,0.78,62.72
22,10.66,707.46,0.58,0.87,64.16
23,10.79,707.71,0.61,0.91,65.68
24,10.58,707.83,0.56,0.84,67.08
25,10.32,707.81,0.5,0.75,68.33
26,9.58,707.46,0.36,0.54,69.23
27,8.99,706.92,0.27,0.41,69.92
28,8.02,706.19,0.17,0.25,70.34
29,7.64,705.41,0.14,0.21,70.69
30,7.53,704.62,0.13,0.2,71.02
31,7.78,703.86,0.15,0.23,71.4
32,7.91,703.12,0.16,0.24,71.8
33,8.23,702.42,0.19,0.28,72.27
34,8.34,701.74,0.2,0.3,72.77
35,8.39,701.07,0.2,0.3,73.27
36,8.33,700.38,0.2,0.3,73.77
37,8.23,699.69,0.19,0.28,74.23
38,8.22,698.99,0.19,0.28,74.7
39,8.13,698.28,0.18,0.27,75.15
40,7.69,697.51,0.14,0.21,75.5
41,7.24,696.7,0.11,0.17,75.79
42,7.23,695.9,0.11,0.17,76.07
43,7,695.08,0.1,0.15,76.32
44,6.83,694.26,0.09,0.14,76.54
45,6.48,693.43,0.08,0.11,76.74
46,6.42,692.6,0.07,0.11,76.92
47,5.85,691.77,0.05,0.08,77.06
48,5.19,690.96,0.04,0.06,77.15
49,5.12,690.14,0.04,0.06,77.25
50,5.15,689.33,0.04,0.06,77.34
51,5.24,688.52,0.04,0.06,77.44
52,5.43,687.7,0.04,0.07,77.55
53,5.46,686.89,0.04,0.07,77.66
54,5.29,686.07,0.04,0.06,77.76
55,4.42,685.3,0.03,0.04,77.82
56,3.46,684.57,0.02,0.02,77.86
57,3.42,683.84,0.01,0.02,77.9
58,3.46,683.12,0.02,0.02,77.94
59,3.23,682.4,0.01,0.02,77.97
60,3.14,681.69,0.01,0.02,78
61,3.54,680.97,0.02,0.02,78.04
62,4.03,680.21,0.02,0.03,78.09
63,4.19,679.45,0.02,0.03,78.15
64,3.79,678.71,0.02,0.03,78.2
65,3.22,678,0.01,0.02,78.23
66,2.87,677.31,0.01,0.02,78.26
67,2.73,676.63,0.01,0.02,78.28
68,2.38,675.97,0.01,0.01,78.3
69,1.92,675.34,0.01,0.01,78.32
70,1.97,674.7,0.01,0.01,78.34
71,2.23,674.05,0.01,0.01,78.36
72,2.02,673.41,0.01,0.01,78.37
73,1.62,672.8,0.01,0.01,78.39
74,1.6,672.19,0.01,0.01,78.4
75,1.87,671.56,0.01,0.01,78.42
76,2.08,670.92,0.01,0.01,78.44
77,1.73,670.3,0.01,0.01,78.45
