Day,Temperature.C,Weight.g,Cons.inverts.g,Cons.fish.g,Cum.Cons.g
1,0.21,503.96,0,0,0
2,0.39,503.52,0,0,0.01
3,1.06,503.05,0,0.01,0.02
4,1.3,502.57,0,0.01,0.03
5,1.46,502.08,0,0.01,0.04
6,1.75,501.58,0,0.01,0.05
7,2.36,501.05,0,0.01,0.06
8,2.98,500.49,0,0.02,0.09
9,3.72,499.91,0.01,0.03,0.12
10,4.54,499.3,0.01,0.04,0.17
11,4.69,498.68,0.01,0.04,0.22
12,4.75,498.06,0.01,0.04,0.28
13,5.02,497.43,0.01,0.05,0.34
14,5.29,496.81,0.01,0.06,0.41
15,5.53,496.18,0.02,0.07,0.5
16,5.85,495.54,0.02,0.08,0.6
17,5.89,494.91,0.02,0.08,0.7
18,5.88,494.28,0.02,0.08,0.8
19,6.23,493.65,0.02,0.1,0.92
20,6.56,493.04,0.03,0.11,1.06
21,6.76,492.42,0.03,0.13,1.22
22,7.18,491.84,0.04,0.16,1.41
23,7.21,491.25,0.04,0.16,1.61
24,6.93,490.65,0.03,0.14,1.78
25,6.75,490.04,0.03,0.13,1.94
26,6.39,489.42,0.03,0.1,2.07
27,6.64,488.81,0.03,0.12,2.22
28,7.04,488.21,0.04,0.14,2.4
29,7.14,487.63,0.04,0.15,2.59
30,7.29,487.05,0.04,0.16,2.79
31,7.59,486.5,0.05,0.19,3.03
32,7.6,485.95,0.05,0.19,3.27
33,8.29,485.5,0.07,0.27,3.61
34,8.34,485.05,0.07,0.28,3.96
35,8.47,484.63,0.07,0.3,4.33
36,8.71,484.25,0.08,0.33,4.74
37,9.03,483.95,0.1,0.39,5.23
38,9.42,483.77,0.12,0.46,5.81
39,9.46,483.59,0.12,0.47,6.4
40,9.11,483.32,0.1,0.4,6.9
41,8.85,482.97,0.09,0.35,7.35
42,8.62,482.58,0.08,0.32,7.75
43,8.47,482.16,0.07,0.3,8.11
44,8.11,481.68,0.06,0.25,8.42
45,8.05,481.19,0.06,0.24,8.72
46,7.94,480.68,0.06,0.23,9
47,8.31,480.23,0.07,0.27,9.34
48,8.78,479.87,0.09,0.34,9.77
49,9.42,479.69,0.12,0.46,10.35
50,10.23,479.81,0.17,0.66,11.18
51,10.45,480.04,0.18,0.73,12.09
52,10.56,480.34,0.19,0.77,13.05
53,10.6,480.64,0.19,0.78,14.02
54,10.52,480.91,0.19,0.75,14.96
55,10.03,480.95,0.15,0.61,15.72
56,9.66,480.85,0.13,0.52,16.37
57,9.91,480.84,0.14,0.58,17.09
58,10.1,480.91,0.16,0.63,17.88
59,10.09,480.98,0.16,0.63,18.66
60,10,481.01,0.15,0.6,19.41
61,10.05,481.06,0.15,0.62,20.18
62,9.98,481.07,0.15,0.6,20.93
63,10.25,481.21,0.17,0.67,21.77
64,10.82,481.64,0.21,0.85,22.83
65,11.66,482.6,0.29,1.17,24.3
66,12.05,483.83,0.33,1.34,25.97
67,12.06,485.08,0.34,1.35,27.65
68,11.24,485.77,0.25,1.01,28.92
69,10.68,486.12,0.2,0.81,29.93
70,10.56,486.42,0.19,0.77,30.9
71,10.41,486.64,0.18,0.73,31.81
72,10.44,486.87,0.18,0.74,32.73
73,10.78,487.28,0.21,0.85,33.79
74,11.11,487.89,0.24,0.97,34.99
75,11.13,488.51,0.24,0.97,36.21
76,11.31,489.25,0.26,1.05,37.52
77,11.29,489.97,0.26,1.04,38.81
78,11.16,490.61,0.25,0.99,40.05
79,11.09,491.21,0.24,0.96,41.25
80,10.99,491.75,0.23,0.93,42.41
81,10.55,492.04,0.19,0.78,43.38
82,10.28,492.2,0.17,0.69,44.25
83,10.36,492.39,0.18,0.72,45.14
84,10.53,492.67,0.19,0.77,46.11
85,10.61,493,0.2,0.8,47.1
86,11.18,493.65,0.25,1,48.35
87,11.67,494.64,0.3,1.2,49.85
88,11.92,495.81,0.33,1.31,51.49
89,12.49,497.42,0.39,1.57,53.45
90,13.07,499.48,0.46,1.84,55.76
91,13.59,501.94,0.52,2.09,58.37
92,13.57,504.4,0.52,2.09,60.98
