ID,Site,Date,Crew,Crew Count,EventType,Method,Equipment,StartTime,EndTime,TotalEffort,TransectBottomLat,TransectBottomLong,TransectTopLat,TransectTopLong,ObsID,Species,Count,Length,FishStatus,CaptureType,ClipType,LavageID,StomachContents,StomachContentsWeight,FishContentWeight,Water_Temperature,TagNumber,Comments
1,Deadwater Slough,10/20/2020,Mike Edmonson,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,16:00,18:00,240,45.382689,-114.066274,45.38974,-114.046771,1,Northern Pikeminnow,1,387,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
2,Deadwater Slough,10/20/2020,Mike Edmonson,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,16:00,18:00,240,45.382689,-114.066274,45.38974,-114.046771,2,Northern Pikeminnow,1,359,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,Claw Mark
3,Deadwater Slough,10/20/2020,Mike Edmonson,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,16:00,18:00,240,45.382689,-114.066274,45.38974,-114.046771,3,Northern Pikeminnow,1,324,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
4,Deadwater Slough,10/20/2020,Mike Edmonson,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,16:00,18:00,240,45.382689,-114.066274,45.38974,-114.046771,4,Northern Pikeminnow,1,345,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
5,Deadwater Slough,10/20/2020,Mike Edmonson,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,16:00,18:00,240,45.382689,-114.066274,45.38974,-114.046771,5,Northern Pikeminnow,1,362,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
6,Deadwater Slough,10/20/2020,Mike Edmonson,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,16:00,18:00,240,45.382689,-114.066274,45.38974,-114.046771,6,Northern Pikeminnow,1,309,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
7,Deadwater Slough,10/20/2020,Mike Edmonson,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,16:00,18:00,240,45.382689,-114.066274,45.38974,-114.046771,7,Northern Pikeminnow,1,239,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
8,Deadwater Slough,10/20/2020,Mike Edmonson,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,16:00,18:00,240,45.382689,-114.066274,45.38974,-114.046771,8,Northern Pikeminnow,1,329,Live,Mark,Upper Caudal Clip,ME20-001,,,,10.1,,
9,Deadwater Slough,10/20/2020,Mike Edmonson,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,16:00,18:00,240,45.382689,-114.066274,45.38974,-114.046771,9,Northern Pikeminnow,1,384,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
10,Deadwater Slough,10/20/2020,Mike Edmonson,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,16:00,18:00,240,45.382689,-114.066274,45.38974,-114.046771,10,Northern Pikeminnow,1,634,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
