ID,IDKey,Site,Date,Crew,EventType,Method,Equipment,StartTime,EndTime,TotalEffort,TransectID,TransectBottomLat,TransectBottomLong,TransectTopLat,TransectTopLong,ObsID,Species,Count,Length,FishStatus,CaptureType,ClipType,LavageID,StomachContents,StomachContentsWeight,FishContentWeight,PITnumber,Comments,Crew Count,Floy Tag,Date/Time,Image_ID,StartTemp,EndTemp,Conductivity,TotalDayEffort
1,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,1,45.382689,-114.066274,45.385005,-114.059868,1,Northern Pikeminnow,1,403,Live,Mark,Upper Caudal,TH12-001,MacroInvert-other/Detritus,0.2,0,,,,,,,,,,
2,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,2,Northern Pikeminnow,1,460,Live,Mark,Upper Caudal,BH12-002,Detritus/FinClip,0.4,0,,,,,,,,,,
3,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,3,Cutthroat Trout,1,377,Dead,Mark,Upper Caudal,BH12-001,MacroInvert-other/MacroInvert-Snail/Detritus,1.7,0,,,,,,,,,,
4,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,4,Cutthroat Trout,1,263,Live,Mark,Upper Caudal,BH12-003,MacroInvert-other/Detritus,0.3,0,,,,,,,,,,
5,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,2,45.385005,-114.059868,45.387383,-114.051423,5,Northern Pikeminnow,1,472,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
6,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,2,45.385005,-114.059868,45.387383,-114.051423,6,Northern Pikeminnow,1,500,Dead,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
7,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,7,Northern Pikeminnow,1,554,Live,Mark,Upper Caudal,TH12-002,Detritus,0.1,0,,,,,,,,,,
8,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,8,Northern Pikeminnow,1,512,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
9,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,9,Northern Pikeminnow,1,455,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
10,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,10,Northern Pikeminnow,1,460,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
11,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,11,Northern Pikeminnow,1,357,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
12,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,12,Northern Pikeminnow,1,472,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
13,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,13,Northern Pikeminnow,1,486,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
14,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,14,Northern Pikeminnow,1,430,Live,Mark,Upper Caudal,TH12-003,Algae/Detritus,0.3,0,,,,,,,,,,
15,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,15,Northern Pikeminnow,1,392,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
16,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,16,Northern Pikeminnow,1,400,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
17,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,17,Northern Pikeminnow,1,542,Live,Mark,Upper Caudal,TH12-004,MacroInvert-other/Detritus/Fish-Unk,1,0.5,,,,,,,,,,
18,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,18,Northern Pikeminnow,1,432,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
19,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,19,Northern Pikeminnow,1,525,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
20,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,20,Northern Pikeminnow,1,490,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
21,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,21,Northern Pikeminnow,1,394,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
22,1,Deadwater Slough,11/12/2019,Brian Hamilton; Tucker Hamilton,Mark,Angling,Boat; Spinning Rods; Worms; Bait,0.333333333,0.70625,537,3,45.387383,-114.051423,45.38974,-114.046771,22,Northern Pikeminnow,1,430,Live,Mark,Upper Caudal,,Empty,0,0,,,,,,,,,,
23,2,Deadwater Slough,11/12/2019,Chelsea Welke,Mark,Angling,Spinning Rod; Worms; Bait,0.40625,0.70625,387,1,45.382689,-114.066274,45.385005,-114.059868,1,Northern Pikeminnow,1,422,Live,Mark,Upper Caudal,,Empty,0,0,,Break between 12:44 and 13:29,,,,,,,,
24,2,Deadwater Slough,11/12/2019,Chelsea Welke,Mark,Angling,Spinning Rod; Worms; Bait,0.40625,0.70625,387,1,45.382689,-114.066274,45.385005,-114.059868,2,Northern Pikeminnow,1,430,Live,Mark,Upper Caudal,,Empty,0,0,,Break between 12:44 and 13:29,,,,,,,,
25,2,Deadwater Slough,11/12/2019,Chelsea Welke,Mark,Angling,Spinning Rod; Worms; Bait,0.40625,0.70625,387,1,45.382689,-114.066274,45.385005,-114.059868,3,Northern Pikeminnow,1,410,Live,Mark,Upper Caudal,,Empty,0,0,,Break between 12:44 and 13:29,,,,,,,,
26,3,Deadwater Slough,11/12/2019,Jared Barker,Mark,Angling,Spinning Rod; Worms; Bait,0.381944444,0.666666667,410,3,45.387383,-114.051423,45.38974,-114.046771,1,Northern Pikeminnow,1,426,Live,Mark,Upper Caudal,JB12-001,MacroInvert-other/Detritus/Fish-Unk,0.3,0.1,,,,,,,,,,
27,3,Deadwater Slough,11/12/2019,Jared Barker,Mark,Angling,Spinning Rod; Worms; Bait,0.381944444,0.666666667,410,3,45.387383,-114.051423,45.38974,-114.046771,2,Northern Pikeminnow,1,439,Live,Mark,Upper Caudal,JB12-002,MacroInvert-other/Detritus,0.4,0,,,,,,,,,,
