date,time,temp_c
10/7/2018,0:00,11.005
10/7/2018,1:00,10.883
10/7/2018,2:00,10.785
10/7/2018,3:00,10.663
10/7/2018,4:00,10.59
10/7/2018,5:00,10.516
10/7/2018,6:00,10.443
10/7/2018,7:00,10.369
10/7/2018,8:00,10.32
10/7/2018,9:00,10.271
10/7/2018,10:00,10.247
10/7/2018,11:00,10.345
10/7/2018,12:00,10.541
10/7/2018,13:00,10.785
10/7/2018,14:00,11.321
10/7/2018,15:00,11.516
10/7/2018,16:00,11.832
10/7/2018,17:00,12.05
10/7/2018,18:00,12.122
10/7/2018,19:00,12.074
10/7/2018,20:00,11.88
10/7/2018,21:00,11.686
10/7/2018,22:00,11.565
10/7/2018,23:00,11.419
10/8/2018,0:00,11.224
10/8/2018,1:00,10.98
10/8/2018,2:00,10.712
10/8/2018,3:00,10.443
10/8/2018,4:00,10.173
10/8/2018,5:00,9.977
10/8/2018,6:00,9.805
10/8/2018,7:00,9.608
10/8/2018,8:00,9.46
10/8/2018,9:00,9.336
10/8/2018,10:00,9.238
10/8/2018,11:00,9.262
10/8/2018,12:00,9.386
10/8/2018,13:00,9.657
10/8/2018,14:00,9.952
10/8/2018,15:00,10.345
10/8/2018,16:00,10.712
10/8/2018,17:00,10.932
10/8/2018,18:00,10.98
10/8/2018,19:00,10.834
10/8/2018,20:00,10.663
10/8/2018,21:00,10.443
10/8/2018,22:00,10.296
10/8/2018,23:00,10.198
10/9/2018,0:00,10.124
10/9/2018,1:00,10.075
10/9/2018,2:00,10.051
10/9/2018,3:00,10.026
10/9/2018,4:00,9.952
10/9/2018,5:00,9.879
10/9/2018,6:00,9.78
10/9/2018,7:00,9.682
10/9/2018,8:00,9.608
10/9/2018,9:00,9.509
10/9/2018,10:00,9.435
10/9/2018,11:00,9.386
10/9/2018,12:00,9.361
10/9/2018,13:00,9.361
10/9/2018,14:00,9.386
10/9/2018,15:00,9.435
10/9/2018,16:00,9.485
10/9/2018,17:00,9.534
10/9/2018,18:00,9.485
10/9/2018,19:00,9.435
10/9/2018,20:00,9.287
10/9/2018,21:00,9.139
10/9/2018,22:00,8.99
10/9/2018,23:00,8.866
10/10/2018,0:00,8.767
10/10/2018,1:00,8.717
10/10/2018,2:00,8.693
10/10/2018,3:00,8.668
10/10/2018,4:00,8.643
10/10/2018,5:00,8.593
10/10/2018,6:00,8.593
10/10/2018,7:00,8.543
10/10/2018,8:00,8.494
10/10/2018,9:00,8.469
10/10/2018,10:00,8.444
10/10/2018,11:00,8.543
10/10/2018,12:00,8.593
10/10/2018,13:00,8.767
10/10/2018,14:00,8.941
10/10/2018,15:00,9.114
10/10/2018,16:00,9.287
10/10/2018,17:00,9.41
10/10/2018,18:00,9.46
10/10/2018,19:00,9.46
10/10/2018,20:00,9.435
10/10/2018,21:00,9.386
10/10/2018,22:00,9.312
10/10/2018,23:00,9.213
10/11/2018,0:00,9.089
10/11/2018,1:00,8.965
10/11/2018,2:00,8.817
10/11/2018,3:00,8.668
10/11/2018,4:00,8.494
10/11/2018,5:00,8.344
10/11/2018,6:00,8.17
10/11/2018,7:00,7.995
10/11/2018,8:00,7.87
10/11/2018,9:00,7.745
10/11/2018,10:00,7.67
10/11/2018,11:00,7.745
10/11/2018,12:00,7.845
10/11/2018,13:00,8.045
10/11/2018,14:00,8.369
10/11/2018,15:00,8.668
10/11/2018,16:00,8.99
10/11/2018,17:00,9.139
10/11/2018,18:00,9.262
10/11/2018,19:00,9.262
10/11/2018,20:00,9.089
10/11/2018,21:00,8.891
10/11/2018,22:00,8.693
10/11/2018,23:00,8.494
10/12/2018,0:00,8.319
10/12/2018,1:00,8.22
10/12/2018,2:00,8.145
10/12/2018,3:00,8.07
10/12/2018,4:00,7.97
10/12/2018,5:00,7.82
10/12/2018,6:00,7.619
10/12/2018,7:00,7.444
10/12/2018,8:00,7.268
10/12/2018,9:00,7.167
10/12/2018,10:00,7.116
10/12/2018,11:00,7.041
10/12/2018,12:00,7.293
10/12/2018,13:00,7.67
10/12/2018,14:00,8.195
10/12/2018,15:00,8.593
10/12/2018,16:00,8.965
10/12/2018,17:00,9.213
10/12/2018,18:00,9.312
10/12/2018,19:00,9.213
10/12/2018,20:00,9.064
10/12/2018,21:00,8.891
10/12/2018,22:00,8.767
10/12/2018,23:00,8.693
10/13/2018,0:00,8.618
10/13/2018,1:00,8.543
10/13/2018,2:00,8.494
10/13/2018,3:00,8.444
10/13/2018,4:00,8.369
10/13/2018,5:00,8.295
10/13/2018,6:00,8.22
10/13/2018,7:00,8.145
10/13/2018,8:00,8.07
10/13/2018,9:00,8.07
10/13/2018,10:00,8.045
10/13/2018,11:00,7.995
10/13/2018,12:00,7.945
10/13/2018,13:00,7.895
10/13/2018,14:00,7.97
10/13/2018,15:00,8.12
10/13/2018,16:00,8.27
10/13/2018,17:00,8.469
10/13/2018,18:00,8.469
10/13/2018,19:00,8.344
10/13/2018,20:00,8.12
10/13/2018,21:00,7.895
10/13/2018,22:00,7.72
10/13/2018,23:00,7.544
10/14/2018,0:00,7.343
10/14/2018,1:00,7.142
10/14/2018,2:00,6.914
10/14/2018,3:00,6.687
10/14/2018,4:00,6.484
10/14/2018,5:00,6.281
10/14/2018,6:00,6.102
10/14/2018,7:00,5.949
10/14/2018,8:00,5.796
10/14/2018,9:00,5.693
10/14/2018,10:00,5.642
10/14/2018,11:00,5.642
10/14/2018,12:00,5.821
10/14/2018,13:00,6.179
10/14/2018,14:00,6.661
10/14/2018,15:00,6.99
10/14/2018,16:00,7.268
10/14/2018,17:00,7.419
10/14/2018,18:00,7.419
10/14/2018,19:00,7.268
10/14/2018,20:00,7.041
10/14/2018,21:00,6.839
10/14/2018,22:00,6.661
10/14/2018,23:00,6.535
10/15/2018,0:00,6.458
10/15/2018,1:00,6.331
10/15/2018,2:00,6.204
10/15/2018,3:00,6.102
10/15/2018,4:00,5.949
10/15/2018,5:00,5.821
10/15/2018,6:00,5.693
10/15/2018,7:00,5.539
10/15/2018,8:00,5.385
10/15/2018,9:00,5.231
10/15/2018,10:00,5.154
10/15/2018,11:00,5.102
10/15/2018,12:00,5.231
10/15/2018,13:00,5.565
10/15/2018,14:00,6.051
10/15/2018,15:00,6.484
10/15/2018,16:00,6.839
10/15/2018,17:00,7.091
10/15/2018,18:00,7.167
10/15/2018,19:00,7.091
10/15/2018,20:00,6.914
10/15/2018,21:00,6.687
10/15/2018,22:00,6.535
10/15/2018,23:00,6.408
10/16/2018,0:00,6.331
10/16/2018,1:00,6.255
10/16/2018,2:00,6.179
10/16/2018,3:00,6.102
10/16/2018,4:00,6.026
10/16/2018,5:00,5.924
10/16/2018,6:00,5.796
10/16/2018,7:00,5.668
10/16/2018,8:00,5.565
10/16/2018,9:00,5.488
10/16/2018,10:00,5.437
10/16/2018,11:00,5.411
10/16/2018,12:00,5.591
10/16/2018,13:00,5.949
10/16/2018,14:00,6.484
10/16/2018,15:00,6.914
10/16/2018,16:00,7.293
10/16/2018,17:00,7.569
10/16/2018,18:00,7.645
10/16/2018,19:00,7.594
10/16/2018,20:00,7.419
10/16/2018,21:00,7.217
10/16/2018,22:00,7.091
10/16/2018,23:00,7.015
10/17/2018,0:00,6.94
10/17/2018,1:00,6.889
10/17/2018,2:00,6.839
10/17/2018,3:00,6.763
10/17/2018,4:00,6.687
10/17/2018,5:00,6.585
10/17/2018,6:00,6.458
10/17/2018,7:00,6.331
10/17/2018,8:00,6.204
10/17/2018,9:00,6.128
10/17/2018,10:00,6.077
10/17/2018,11:00,6.051
10/17/2018,12:00,6.23
10/17/2018,13:00,6.585
10/17/2018,14:00,7.091
10/17/2018,15:00,7.544
10/17/2018,16:00,7.895
10/17/2018,17:00,8.17
10/17/2018,18:00,8.22
10/17/2018,19:00,8.17
10/17/2018,20:00,7.995
10/17/2018,21:00,7.795
10/17/2018,22:00,7.645
10/17/2018,23:00,7.569
10/18/2018,0:00,7.494
10/18/2018,1:00,7.419
10/18/2018,2:00,7.368
10/18/2018,3:00,7.293
10/18/2018,4:00,7.217
10/18/2018,5:00,7.116
10/18/2018,6:00,6.99
10/18/2018,7:00,6.864
10/18/2018,8:00,6.737
10/18/2018,9:00,6.661
10/18/2018,10:00,6.585
10/18/2018,11:00,6.56
10/18/2018,12:00,6.712
10/18/2018,13:00,7.041
10/18/2018,14:00,7.544
10/18/2018,15:00,7.995
10/18/2018,16:00,8.344
10/18/2018,17:00,8.568
10/18/2018,18:00,8.643
10/18/2018,19:00,8.568
10/18/2018,20:00,8.419
10/18/2018,21:00,8.22
10/18/2018,22:00,8.12
10/18/2018,23:00,8.045
10/19/2018,0:00,7.995
10/19/2018,1:00,7.97
10/19/2018,2:00,7.92
10/19/2018,3:00,7.87
10/19/2018,4:00,7.82
10/19/2018,5:00,7.72
10/19/2018,6:00,7.594
10/19/2018,7:00,7.469
10/19/2018,8:00,7.368
10/19/2018,9:00,7.293
10/19/2018,10:00,7.217
10/19/2018,11:00,7.192
10/19/2018,12:00,7.343
10/19/2018,13:00,7.645
10/19/2018,14:00,8.095
10/19/2018,15:00,8.519
10/19/2018,16:00,8.866
10/19/2018,17:00,9.089
10/19/2018,18:00,9.114
10/19/2018,19:00,9.04
10/19/2018,20:00,8.866
10/19/2018,21:00,8.643
10/19/2018,22:00,8.519
10/19/2018,23:00,8.419
10/20/2018,0:00,8.319
10/20/2018,1:00,8.27
10/20/2018,2:00,8.195
10/20/2018,3:00,8.12
10/20/2018,4:00,8.02
10/20/2018,5:00,7.895
10/20/2018,6:00,7.77
10/20/2018,7:00,7.619
10/20/2018,8:00,7.469
10/20/2018,9:00,7.368
10/20/2018,10:00,7.268
10/20/2018,11:00,7.217
10/20/2018,12:00,7.318
10/20/2018,13:00,7.544
10/20/2018,14:00,7.895
10/20/2018,15:00,8.27
10/20/2018,16:00,8.618
10/20/2018,17:00,8.866
10/20/2018,18:00,8.916
10/20/2018,19:00,8.866
10/20/2018,20:00,8.693
10/20/2018,21:00,8.519
10/20/2018,22:00,8.394
10/20/2018,23:00,8.295
10/21/2018,0:00,8.22
10/21/2018,1:00,8.145
10/21/2018,2:00,8.07
10/21/2018,3:00,7.995
10/21/2018,4:00,7.895
10/21/2018,5:00,7.795
10/21/2018,6:00,7.645
10/21/2018,7:00,7.494
10/21/2018,8:00,7.368
10/21/2018,9:00,7.268
10/21/2018,10:00,7.217
10/21/2018,11:00,7.192
10/21/2018,12:00,7.268
10/21/2018,13:00,7.494
10/21/2018,14:00,7.87
10/21/2018,15:00,8.319
10/21/2018,16:00,8.643
10/21/2018,17:00,8.866
10/21/2018,18:00,8.941
10/21/2018,19:00,8.916
10/21/2018,20:00,8.767
10/21/2018,21:00,8.618
10/21/2018,22:00,8.494
10/21/2018,23:00,8.394
10/22/2018,0:00,8.319
10/22/2018,1:00,8.27
10/22/2018,2:00,8.195
10/22/2018,3:00,8.12
10/22/2018,4:00,8.02
10/22/2018,5:00,7.945
10/22/2018,6:00,7.82
10/22/2018,7:00,7.695
10/22/2018,8:00,7.569
10/22/2018,9:00,7.469
10/22/2018,10:00,7.393
10/22/2018,11:00,7.343
10/22/2018,12:00,7.444
10/22/2018,13:00,7.72
10/22/2018,14:00,8.12
10/22/2018,15:00,8.593
10/22/2018,16:00,8.916
10/22/2018,17:00,9.114
10/22/2018,18:00,9.163
10/22/2018,19:00,9.089
10/22/2018,20:00,8.941
10/22/2018,21:00,8.742
10/22/2018,22:00,8.593
10/22/2018,23:00,8.519
10/23/2018,0:00,8.419
10/23/2018,1:00,8.344
10/23/2018,2:00,8.27
10/23/2018,3:00,8.195
10/23/2018,4:00,8.095
10/23/2018,5:00,7.995
10/23/2018,6:00,7.87
10/23/2018,7:00,7.745
10/23/2018,8:00,7.619
10/23/2018,9:00,7.594
10/23/2018,10:00,7.519
10/23/2018,11:00,7.519
10/23/2018,12:00,7.695
10/23/2018,13:00,7.745
10/23/2018,14:00,7.92
10/23/2018,15:00,8.17
10/23/2018,16:00,8.369
10/23/2018,17:00,8.618
10/23/2018,18:00,8.693
10/23/2018,19:00,8.742
10/23/2018,20:00,8.742
10/23/2018,21:00,8.717
10/23/2018,22:00,8.717
10/23/2018,23:00,8.767
10/24/2018,0:00,8.767
10/24/2018,1:00,8.817
10/24/2018,2:00,8.866
10/24/2018,3:00,8.866
10/24/2018,4:00,8.841
10/24/2018,5:00,8.792
10/24/2018,6:00,8.742
10/24/2018,7:00,8.693
10/24/2018,8:00,8.618
10/24/2018,9:00,8.593
10/24/2018,10:00,8.593
10/24/2018,11:00,8.618
10/24/2018,12:00,8.717
10/24/2018,13:00,9.163
10/24/2018,14:00,9.558
10/24/2018,15:00,9.879
10/24/2018,16:00,10.1
10/24/2018,17:00,10.198
10/24/2018,18:00,10.198
10/24/2018,19:00,10.173
10/24/2018,20:00,10.124
10/24/2018,21:00,10.075
10/24/2018,22:00,10.026
10/24/2018,23:00,10.026
10/25/2018,0:00,10.051
10/25/2018,1:00,10.026
10/25/2018,2:00,9.952
10/25/2018,3:00,9.854
10/25/2018,4:00,9.78
10/25/2018,5:00,9.731
10/25/2018,6:00,9.682
10/25/2018,7:00,9.657
