day,temperature
1,14.734
2,14.358
3,14.068
4,13.963
5,13.861
6,13.627
7,13.203
8,13.203
9,13.400
10,13.225
11,12.849
12,12.850
13,13.020
14,12.956
15,12.416
16,11.913
17,11.557
18,11.437
19,11.245
20,10.726
21,10.405
22,10.662
23,10.787
24,10.583
25,10.316
26,9.578
27,8.994
28,8.020
29,7.640
30,7.529
31,7.778
32,7.910
33,8.235
34,8.338
35,8.390
36,8.331
37,8.234
38,8.224
39,8.128
40,7.690
41,7.241
42,7.226
43,6.997
44,6.832
45,6.484
46,6.415
47,5.853
48,5.188
49,5.121
50,5.153
51,5.243
52,5.428
53,5.461
54,5.286
55,4.418
56,3.462
57,3.422
58,3.465
59,3.235
60,3.138
61,3.542
62,4.027
63,4.193
64,3.789
65,3.218
66,2.866
67,2.732
68,2.376
69,1.921
70,1.972
71,2.229
72,2.019
73,1.622
74,1.600
75,1.869
76,2.085
77,1.731
