day,temperature
1,0.212
2,0.385
3,1.064
4,1.298
5,1.459
6,1.745
7,2.360
8,2.981
9,3.716
10,4.543
11,4.694
12,4.751
13,5.017
14,5.287
15,5.530
16,5.848
17,5.893
18,5.875
19,6.233
20,6.557
21,6.756
22,7.181
23,7.205
24,6.934
25,6.750
26,6.393
27,6.644
28,7.039
29,7.140
30,7.293
31,7.593
32,7.604
33,8.285
34,8.337
35,8.472
36,8.711
37,9.031
38,9.416
39,9.459
40,9.113
41,8.849
42,8.624
43,8.472
44,8.109
45,8.051
46,7.944
47,8.307
48,8.776
49,9.418
50,10.227
51,10.448
52,10.565
53,10.595
54,10.521
55,10.032
56,9.663
57,9.914
58,10.095
59,10.086
60,10.004
61,10.051
62,9.976
63,10.248
64,10.816
65,11.658
66,12.050
67,12.060
68,11.238
69,10.683
70,10.562
71,10.415
72,10.440
73,10.781
74,11.110
75,11.128
76,11.315
77,11.292
78,11.165
79,11.085
80,10.989
81,10.551
82,10.281
83,10.357
84,10.528
85,10.609
86,11.181
87,11.666
88,11.924
89,12.487
90,13.069
91,13.592
92,13.568
