day,temperature
1,15.6
2,17.2
3,16.7
4,16.1
5,15.3
6,14.5
7,15.4
8,13.9
9,13.1
10,14.1
11,15.1
12,14.2
13,12.5
14,12.7
15,12.7
16,12.5
17,12
18,12.6
19,11.8
20,11.1
21,10.6
22,10.4
23,9.9
24,10
25,10.4
26,11
27,11.6
28,11.9
29,10.4
30,8.6
31,8.5
32,9.1
33,9
34,8.4
35,7.8
36,8.7
37,8.8
38,8.9
39,8.5
40,6.3
41,5.6
42,5.2
43,5.9
44,6.7
45,6
46,6.1
47,6.7
48,7.1
49,6.7
50,6
51,6.6
52,7.1
53,5.9
54,5.1
55,3
56,1.5
57,1.9
58,3
59,0.5
60,0
61,0
62,0
63,0.1
64,0.3
65,1
66,2.2
67,2.8
68,2.8
69,2.5
70,2.4
71,1.5
72,1.4
73,1.1
74,0.5
75,0.5
76,1.4
77,1.8
78,2.1
